timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,label
1.866797924,-2.47,-0.96,-9.47,0.08,-0.22,0.14,intention_tremor
1.882052898,-2.46,-0.62,-9.26,0.08,-0.22,0.14,intention_tremor
1.897306919,-2.58,-0.98,-9.33,0.08,-0.22,0.14,intention_tremor
1.912654877,-2.49,-0.66,-9.14,0.08,-0.22,0.14,intention_tremor
1.927819967,-2.37,-0.43,-9.05,0.08,-0.22,0.14,intention_tremor
1.943105936,-2.35,-0.7,-9.28,0.08,-0.22,0.14,intention_tremor
1.958455801,-2.67,-0.91,-8.89,0.08,-0.22,0.14,intention_tremor
1.973695993,-3.02,-0.49,-8.07,0.08,-0.22,0.14,intention_tremor
1.988881111,-2.98,-0.03,-7.66,0.09,-0.22,0.14,intention_tremor
2.004164934,-2.64,-0.65,-8.51,0.08,-0.22,0.14,intention_tremor
2.019661903,-2.28,-1.44,-9.59,0.08,-0.22,0.14,intention_tremor
2.03491807,-2.03,-1.3,-10.2,0.09,-0.22,0.14,intention_tremor
2.050204039,-1.42,0.17,-10.33,0.08,-0.22,0.14,intention_tremor
2.065464973,-1.01,0.25,-10.53,0.08,-0.22,0.14,intention_tremor
2.081049919,-0.91,-0.13,-10.34,0.08,-0.22,0.14,intention_tremor
2.096487045,-0.87,-0.81,-10.71,0.08,-0.22,0.14,intention_tremor
2.11174798,-0.9,-0.62,-10.63,0.08,-0.22,0.14,intention_tremor
2.127017975,-0.97,0.81,-10.01,0.09,-0.22,0.14,intention_tremor
2.142256021,-1.13,1.8,-9.42,0.09,-0.22,0.15,intention_tremor
2.157833099,-1.18,0.81,-10.29,0.08,-0.22,0.14,intention_tremor
2.173310041,-1.25,-0.74,-10.84,0.08,-0.22,0.14,intention_tremor
2.188597202,-1.72,-1.92,-10.38,0.08,-0.22,0.14,intention_tremor
2.203808784,-2.12,-2.3,-9.95,0.08,-0.22,0.14,intention_tremor
2.219079971,-2.07,-1.51,-9.56,0.08,-0.22,0.14,intention_tremor
2.234369993,-1.53,-0.65,-9.31,0.08,-0.22,0.14,intention_tremor
2.249732018,-1.09,-0.04,-9.13,0.08,-0.22,0.14,intention_tremor
2.265024185,-0.98,0.27,-9.55,0.08,-0.22,0.14,intention_tremor
2.280491829,-0.68,-0.24,-10.1,0.09,-0.22,0.14,intention_tremor
2.29574585,-0.81,-1.33,-9.74,0.08,-0.22,0.14,intention_tremor
2.31102705,-1.12,-2,-9.27,0.08,-0.22,0.14,intention_tremor
2.326209784,-1.31,-1.84,-9.15,0.08,-0.22,0.14,intention_tremor
2.341593027,-1.08,-1.15,-9.42,0.08,-0.22,0.14,intention_tremor
2.356675863,-0.79,0.17,-9.17,0.08,-0.22,0.14,intention_tremor
2.372215986,-0.77,0.16,-9.56,0.08,-0.22,0.14,intention_tremor
2.387767792,-0.64,-0.46,-10.04,0.08,-0.22,0.14,intention_tremor
2.402822018,-0.98,-1.44,-9.68,0.08,-0.22,0.14,intention_tremor
2.418190002,-1.43,-2.04,-9.36,0.08,-0.22,0.14,intention_tremor
2.433470011,-1.36,-1.63,-9.56,0.08,-0.22,0.14,intention_tremor
2.448693037,-1.07,-0.61,-9.89,0.08,-0.22,0.14,intention_tremor
2.464011908,-0.9,-0.2,-10.15,0.08,-0.22,0.14,intention_tremor
2.47969079,-0.89,-0.49,-10.38,0.08,-0.22,0.14,intention_tremor
2.494885921,-0.98,-1.01,-10.39,0.09,-0.22,0.15,intention_tremor
2.51000309,-1.07,-1.47,-9.92,0.08,-0.22,0.14,intention_tremor
2.525298119,-1.11,-1.25,-9.51,0.08,-0.22,0.14,intention_tremor
2.540694952,-0.95,-0.86,-9.55,0.08,-0.22,0.14,intention_tremor
2.555974007,-0.94,-0.62,-9.89,0.08,-0.22,0.14,intention_tremor
2.571331024,-0.83,-0.73,-10.46,0.08,-0.22,0.14,intention_tremor
2.586656094,-0.65,-0.96,-10.67,0.08,-0.22,0.14,intention_tremor
2.60206604,-0.51,-1.11,-10.45,0.08,-0.22,0.14,intention_tremor
2.617361069,-0.51,-1.37,-10.11,0.08,-0.22,0.14,intention_tremor
2.634976149,-0.46,-0.82,-9.64,0.08,-0.22,0.14,intention_tremor
2.647768021,-0.38,-0.85,-9.69,0.08,-0.22,0.14,intention_tremor
2.663207054,-0.24,-0.78,-9.86,0.08,-0.22,0.14,intention_tremor
2.678701878,-0.17,-0.73,-10.13,0.08,-0.22,0.14,intention_tremor
2.693879843,-0.11,-0.37,-10.04,0.08,-0.22,0.14,intention_tremor
2.70912385,-0.12,-0.76,-9.95,0.08,-0.22,0.14,intention_tremor
2.724372149,-0.28,-1.74,-9.84,0.08,-0.22,0.14,intention_tremor
2.739680052,-0.72,-2.45,-9.39,0.08,-0.22,0.14,intention_tremor
2.754951,-0.77,-2.09,-9.44,0.08,-0.22,0.14,intention_tremor
2.770804167,-0.51,-0.9,-9.45,0.08,-0.22,0.14,intention_tremor
2.785546064,-0.22,0.33,-9.55,0.08,-0.22,0.14,intention_tremor
2.8010149,0.01,-0.09,-10.14,0.08,-0.22,0.14,intention_tremor
2.816294909,0.06,-0.75,-10.05,0.08,-0.22,0.14,intention_tremor
2.831557989,-0.31,-1.85,-9.96,0.08,-0.22,0.14,intention_tremor
2.846816778,-0.48,-2.13,-9.83,0.08,-0.22,0.14,intention_tremor
2.862101078,-0.48,-1.38,-9.86,0.08,-0.22,0.14,intention_tremor
2.877408028,-0.46,-0.08,-9.91,0.08,-0.22,0.14,intention_tremor
2.892876863,-0.28,0.52,-10.31,0.08,-0.22,0.14,intention_tremor
2.908155918,-0.01,0.09,-10.21,0.08,-0.22,0.14,intention_tremor
2.923529148,-0.18,-0.82,-9.76,0.08,-0.22,0.14,intention_tremor
2.938781977,-0.6,-1.47,-9.45,0.08,-0.22,0.14,intention_tremor
2.954044104,-0.61,-1.16,-9.58,0.08,-0.22,0.14,intention_tremor
2.969484806,-0.38,-0.51,-10.05,0.08,-0.22,0.14,intention_tremor
2.984842062,-0.25,0,-10.25,0.08,-0.22,0.14,intention_tremor
3.000160217,-0.3,-0.31,-10.24,0.08,-0.22,0.14,intention_tremor
3.015418053,-0.47,-0.85,-10.02,0.08,-0.22,0.14,intention_tremor
3.030676126,-0.73,-1.5,-9.86,0.08,-0.22,0.14,intention_tremor
3.045972109,-1.02,-1.86,-9.9,0.08,-0.22,0.14,intention_tremor
3.061378956,-1,-1.73,-9.97,0.08,-0.22,0.14,intention_tremor
3.076737881,-0.84,-1.11,-10.28,0.08,-0.22,0.14,intention_tremor
3.092159033,-0.67,-0.28,-10.2,0.08,-0.22,0.14,intention_tremor
3.107426882,-0.47,-0.6,-10.21,0.08,-0.22,0.14,intention_tremor
3.122731209,-0.39,-1.07,-9.8,0.08,-0.22,0.14,intention_tremor
3.137963057,-0.52,-1.37,-9.44,0.08,-0.22,0.14,intention_tremor
3.153250933,-0.55,-1.18,-9.86,0.08,-0.22,0.14,intention_tremor
3.168725014,-0.45,-1.17,-10.11,0.08,-0.22,0.14,intention_tremor
3.184030056,-0.38,-0.95,-10.14,0.08,-0.22,0.14,intention_tremor
3.19948411,-0.25,-0.94,-10.1,0.08,-0.23,0.14,intention_tremor
3.214766979,-0.04,-0.85,-9.8,0.08,-0.24,0.14,intention_tremor
3.230021,0.16,-0.74,-9.48,0.08,-0.24,0.14,intention_tremor
3.245349884,0.37,-0.47,-9.22,0.08,-0.21,0.14,intention_tremor
3.260556936,0.32,-0.34,-9.51,0.08,-0.21,0.14,intention_tremor
3.275859118,0.06,-0.75,-10.1,0.08,-0.21,0.14,intention_tremor
3.291208029,-0.14,-1.24,-10.32,0.08,-0.21,0.14,intention_tremor
3.306714058,-0.12,-1.36,-10.22,0.08,-0.21,0.14,intention_tremor
3.32197094,-0.12,-1.12,-9.99,0.08,-0.21,0.14,intention_tremor
3.33726716,-0.03,-0.62,-9.87,0.08,-0.21,0.14,intention_tremor
3.352735996,-0.11,-0.72,-10.29,0.08,-0.21,0.14,intention_tremor
3.368027925,-0.14,-0.67,-10.21,0.08,-0.21,0.14,intention_tremor
3.383319855,-0.11,-0.89,-10.4,0.08,-0.21,0.14,intention_tremor
3.398583889,-0.11,-0.47,-9.94,0.08,-0.21,0.14,intention_tremor
3.413817883,-0.08,-0.48,-9.69,0.08,-0.21,0.14,intention_tremor
3.429146051,-0.03,-0.74,-9.48,0.08,-0.21,0.14,intention_tremor
3.444437742,-0.11,-0.68,-9.94,0.08,-0.21,0.14,intention_tremor
3.459801912,-0.14,0,-10.41,0.08,-0.21,0.14,intention_tremor
3.474982023,-0.17,0.42,-10.59,0.08,-0.21,0.14,intention_tremor
3.49045682,-0.34,-0.06,-10.6,0.08,-0.21,0.14,intention_tremor
3.505819082,-0.57,-1.28,-10.5,0.08,-0.21,0.14,intention_tremor
3.521209002,-0.89,-2.15,-10.07,0.08,-0.21,0.14,intention_tremor
3.536446095,-0.95,-1.94,-9.45,0.08,-0.21,0.14,intention_tremor
3.551739931,-0.78,-1.21,-9.11,0.08,-0.21,0.14,intention_tremor
3.567070961,-0.57,-0.59,-9.54,0.08,-0.21,0.14,intention_tremor
3.582234859,-0.67,-1.19,-9.98,0.08,-0.21,0.14,intention_tremor
3.597667933,-0.74,-1.87,-10.08,0.08,-0.21,0.14,intention_tremor
3.612953901,-0.79,-2.38,-9.94,0.08,-0.21,0.14,intention_tremor
3.628235817,-0.63,-1.65,-9.74,0.08,-0.21,0.14,intention_tremor
3.643502951,-0.49,-1.25,-9.55,0.08,-0.21,0.14,intention_tremor
3.658825159,-0.62,-1.19,-9.35,0.08,-0.21,0.14,intention_tremor
