timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,label
1.856311083,-1.13,-0.09,-9.93,0.02,-0.02,0.02,no_tremor
1.87154603,-1.12,-0.09,-9.91,0.01,-0.02,0.01,no_tremor
1.886919975,-1.13,-0.06,-9.92,0.02,-0.02,0.02,no_tremor
1.902122974,-1.12,-0.03,-9.92,0.02,-0.02,0.02,no_tremor
1.917396069,-1.14,-0.02,-9.89,0.02,-0.02,0.01,no_tremor
1.932661057,-1.16,-0.04,-9.91,0.02,-0.02,0.01,no_tremor
1.948020935,-1.15,-0.09,-9.94,0.02,-0.01,0.01,no_tremor
1.963042021,-1.16,-0.05,-9.91,0.02,-0.01,0.01,no_tremor
1.978278875,-1.14,-0.01,-9.93,0.02,-0.01,0.01,no_tremor
1.993623018,-1.15,-0.04,-9.95,0.03,-0.01,0.01,no_tremor
2.008879185,-1.14,-0.09,-9.93,0.02,-0.01,0.01,no_tremor
2.024089098,-1.13,0.04,-9.91,0.03,-0.01,0.01,no_tremor
2.039291859,-1.11,0.03,-9.93,0.03,-0.01,0.01,no_tremor
2.054714203,-1.13,-0.07,-9.95,0.03,-0.01,0.01,no_tremor
2.06981492,-1.14,-0.08,-9.93,0.02,-0.01,0.01,no_tremor
2.085119009,-1.13,0.02,-9.9,0.03,-0.01,0.02,no_tremor
2.100452185,-1.12,-0.02,-9.92,0.03,-0.01,0.02,no_tremor
2.115755081,-1.15,-0.04,-9.94,0.03,-0.01,0.02,no_tremor
2.131017923,-1.14,-0.01,-9.93,0.03,-0.01,0.02,no_tremor
2.14627409,-1.14,-0.03,-9.94,0.02,-0.01,0.02,no_tremor
2.161438942,-1.11,0,-9.94,0.02,-0.01,0.02,no_tremor
2.176689863,-1.13,0.02,-9.91,0.02,-0.01,0.02,no_tremor
2.191963196,-1.11,0,-9.93,0.02,-0.01,0.02,no_tremor
2.207255125,-1.13,0,-9.91,0.03,-0.01,0.02,no_tremor
2.222617149,-1.13,0.03,-9.91,0.03,-0.01,0.02,no_tremor
2.23786211,-1.14,-0.02,-9.95,0.04,-0.02,0.02,no_tremor
2.253063917,-1.15,-0.04,-9.9,0.03,-0.02,0.02,no_tremor
2.268171072,-1.13,0.01,-9.9,0.03,-0.01,0.02,no_tremor
2.283630133,-1.15,0,-9.97,0.03,-0.01,0.02,no_tremor
2.29874897,-1.13,-0.02,-9.93,0.03,-0.01,0.02,no_tremor
2.31400013,-1.12,0.04,-9.92,0.04,-0.01,0.02,no_tremor
2.329317093,-1.1,0.02,-9.94,0.05,-0.02,0.02,no_tremor
2.344604969,-1.11,-0.04,-9.94,0.05,-0.02,0.02,no_tremor
2.359940052,-1.12,-0.01,-9.92,0.04,-0.01,0.02,no_tremor
2.37518692,-1.09,-0.02,-9.91,0.04,-0.02,0.02,no_tremor
2.390510082,-1.11,-0.01,-9.92,0.04,-0.02,0.02,no_tremor
2.405580044,-1.13,-0.02,-9.92,0.04,-0.01,0.02,no_tremor
2.420872927,-1.13,0,-9.93,0.04,-0.01,0.02,no_tremor
2.436113119,-1.12,-0.03,-9.95,0.04,-0.01,0.02,no_tremor
2.45144105,-1.13,-0.03,-9.92,0.04,-0.01,0.02,no_tremor
2.466502905,-1.11,0.02,-9.93,0.04,-0.01,0.02,no_tremor
2.481979132,-1.11,-0.01,-9.94,0.05,-0.02,0.02,no_tremor
2.497063875,-1.12,-0.04,-9.93,0.05,-0.02,0.02,no_tremor
2.512362003,-1.13,-0.02,-9.93,0.05,-0.02,0.02,no_tremor
2.527991056,-1.1,-0.04,-9.9,0.04,-0.02,0.02,no_tremor
2.543109179,-1.12,-0.06,-9.94,0.03,-0.01,0.02,no_tremor
2.558326006,-1.12,-0.04,-9.91,0.03,-0.01,0.02,no_tremor
2.573406935,-1.1,0.02,-9.94,0.03,-0.01,0.02,no_tremor
2.588657141,-1.12,0,-9.91,0.04,-0.02,0.02,no_tremor
2.603935003,-1.11,-0.04,-9.92,0.04,-0.02,0.02,no_tremor
2.619240046,-1.12,-0.02,-9.94,0.04,-0.02,0.02,no_tremor
2.634502172,-1.11,-0.04,-9.93,0.04,-0.01,0.02,no_tremor
2.64982605,-1.1,-0.05,-9.94,0.03,-0.01,0.02,no_tremor
2.665058136,-1.1,-0.03,-9.93,0.03,-0.01,0.02,no_tremor
2.680161953,-1.12,0.05,-9.92,0.03,-0.01,0.02,no_tremor
2.695452213,-1.09,0,-9.95,0.04,-0.02,0.02,no_tremor
2.710737228,-1.1,-0.04,-9.93,0.04,-0.02,0.02,no_tremor
2.726012945,-1.12,0,-9.92,0.04,-0.02,0.02,no_tremor
2.741298914,-1.1,-0.02,-9.95,0.04,-0.02,0.02,no_tremor
2.756598949,-1.11,-0.05,-9.98,0.04,-0.02,0.02,no_tremor
2.77186203,-1.14,-0.05,-9.93,0.03,-0.01,0.02,no_tremor
2.787173033,-1.12,-0.03,-9.92,0.03,-0.01,0.02,no_tremor
2.802235842,-1.1,-0.01,-9.97,0.03,-0.01,0.02,no_tremor
2.817514896,-1.11,-0.06,-9.98,0.02,-0.02,0.02,no_tremor
2.832828999,-1.12,-0.05,-9.95,0.01,-0.02,0.02,no_tremor
2.848124981,-1.11,0.01,-9.88,0.02,-0.01,0.02,no_tremor
2.863209963,-1.1,0.06,-9.94,0.03,-0.02,0.02,no_tremor
2.878480196,-1.09,0.01,-9.95,0.04,-0.02,0.02,no_tremor
2.894048929,-1.12,-0.02,-9.9,0.04,-0.02,0.02,no_tremor
2.909013987,-1.13,-0.06,-9.9,0.04,-0.02,0.02,no_tremor
2.924392939,-1.13,-0.05,-9.91,0.03,-0.01,0.02,no_tremor
2.939644814,-1.12,0.02,-9.92,0.02,-0.01,0.02,no_tremor
2.954949141,-1.09,0.03,-9.93,0.03,-0.01,0.02,no_tremor
2.970103979,-1.1,0.01,-9.92,0.04,-0.01,0.02,no_tremor
2.985295057,-1.11,0.02,-9.9,0.04,-0.02,0.02,no_tremor
3.000874996,-1.09,-0.01,-9.93,0.04,-0.02,0.02,no_tremor
3.016049147,-1.11,-0.08,-9.97,0.03,-0.01,0.02,no_tremor
3.031236172,-1.14,-0.06,-9.93,0.01,-0.01,0.02,no_tremor
3.046453953,-1.12,0.02,-9.92,0.02,-0.01,0.02,no_tremor
3.061821938,-1.08,0.04,-9.93,0.03,-0.01,0.02,no_tremor
3.076888084,-1.11,0.05,-9.94,0.04,-0.02,0.02,no_tremor
3.09209609,-1.1,0,-9.93,0.04,-0.02,0.02,no_tremor
3.107400894,-1.1,-0.04,-9.94,0.04,-0.02,0.02,no_tremor
3.122800112,-1.1,-0.02,-9.9,0.03,-0.01,0.02,no_tremor
3.137978077,-1.08,0.06,-9.91,0.03,-0.01,0.02,no_tremor
3.1530931,-1.12,0.02,-9.94,0.03,-0.01,0.02,no_tremor
3.168381929,-1.12,0.02,-9.95,0.03,-0.01,0.02,no_tremor
3.183656931,-1.12,0.02,-9.94,0.04,-0.01,0.02,no_tremor
3.198907137,-1.12,0.01,-9.93,0.04,-0.02,0.02,no_tremor
3.214203835,-1.12,-0.04,-9.94,0.03,-0.02,0.02,no_tremor
3.229475021,-1.12,-0.02,-9.93,0.03,-0.01,0.02,no_tremor
3.244798899,-1.12,0.07,-9.91,0.03,-0.01,0.02,no_tremor
3.259902,-1.09,0.06,-9.94,0.04,-0.02,0.02,no_tremor
3.27534318,-1.11,-0.01,-9.9,0.04,-0.02,0.02,no_tremor
3.290442944,-1.12,0,-9.92,0.04,-0.01,0.02,no_tremor
3.305734873,-1.1,0.01,-9.93,0.03,-0.01,0.02,no_tremor
3.321094036,-1.13,-0.05,-9.93,0.02,-0.01,0.02,no_tremor
3.336326838,-1.1,0.02,-9.91,0.02,-0.01,0.02,no_tremor
3.351423025,-1.08,0.03,-9.94,0.03,-0.01,0.02,no_tremor
3.366897821,-1.1,-0.01,-9.95,0.03,-0.01,0.02,no_tremor
3.382185936,-1.12,0.03,-9.95,0.03,-0.01,0.02,no_tremor
3.397367954,-1.1,0.01,-9.96,0.04,-0.01,0.02,no_tremor
3.412613153,-1.1,0.01,-9.91,0.03,-0.01,0.02,no_tremor
3.427697182,-1.12,0.02,-9.92,0.03,-0.01,0.02,no_tremor
3.442969084,-1.12,0,-9.94,0.03,-0.01,0.02,no_tremor
3.458236933,-1.11,0.03,-9.95,0.03,-0.01,0.02,no_tremor
3.473547935,-1.09,0.02,-9.94,0.03,-0.01,0.02,no_tremor
3.488822937,-1.11,0.02,-9.93,0.03,-0.01,0.02,no_tremor
3.50388813,-1.11,0.05,-9.9,0.03,-0.01,0.02,no_tremor
3.519227028,-1.11,0.04,-9.93,0.04,-0.01,0.02,no_tremor
3.534607172,-1.1,-0.01,-9.93,0.04,-0.02,0.02,no_tremor
3.549855947,-1.1,0.02,-9.92,0.03,-0.01,0.02,no_tremor
3.565150023,-1.08,-0.03,-9.93,0.03,-0.01,0.02,no_tremor
3.58019805,-1.11,0,-9.93,0.03,-0.01,0.02,no_tremor
3.595462084,-1.1,0.06,-9.92,0.03,-0.01,0.02,no_tremor
3.610780239,-1.1,0.06,-9.94,0.04,-0.01,0.02,no_tremor
3.626025915,-1.1,0.03,-9.94,0.04,-0.02,0.02,no_tremor
3.641165018,-1.09,0.01,-9.95,0.04,-0.02,0.02,no_tremor
3.65664196,-1.09,0,-9.93,0.04,-0.01,0.02,no_tremor
3.671708822,-1.09,0,-9.95,0.03,-0.01,0.02,no_tremor
3.686995983,-1.08,0.02,-9.92,0.03,-0.01,0.02,no_tremor
3.702378035,-1.11,0.03,-9.93,0.04,-0.01,0.02,no_tremor
3.71743989,-1.09,0.04,-9.93,0.04,-0.02,0.02,no_tremor
3.732717991,-1.08,0.01,-9.93,0.05,-0.02,0.02,no_tremor
3.748209238,-1.09,-0.02,-9.95,0.04,-0.02,0.02,no_tremor
3.763247013,-1.1,0.01,-9.95,0.04,-0.01,0.02,no_tremor
