timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,label
1.866136074,-2.14,0.06,-9.74,0.03,-0.01,0.01,rest_tremor
1.881417036,-2.16,0,-9.8,0.03,-0.04,0.01,rest_tremor
1.896689177,-2.22,0,-9.69,0.03,-0.06,0.01,rest_tremor
1.912067175,-2.28,0.09,-9.74,0,-0.06,0.02,rest_tremor
1.927279234,-2.39,0.19,-9.54,-0.02,-0.03,0.01,rest_tremor
1.942584038,-2.38,0.35,-9.19,-0.01,0,0,rest_tremor
1.957534075,-2.37,0.39,-9.21,0.04,0.01,-0.01,rest_tremor
1.972779989,-2.28,0.25,-9.47,0.06,0,-0.01,rest_tremor
1.988054991,-2.2,0.16,-9.7,0.05,-0.02,-0.03,rest_tremor
2.003508091,-2.23,-0.02,-9.69,0.06,-0.04,-0.04,rest_tremor
2.018785,-2.27,-0.09,-9.58,0.06,-0.06,-0.03,rest_tremor
2.034215212,-2.36,-0.22,-9.45,0.06,-0.06,-0.01,rest_tremor
2.049202204,-2.36,-0.16,-9.53,0.05,-0.03,0.02,rest_tremor
2.06457901,-2.37,-0.09,-9.49,0.01,0,0.04,rest_tremor
2.079797029,-2.37,0.06,-9.39,-0.02,0.02,0.04,rest_tremor
2.094923973,-2.32,0.22,-9.44,-0.03,0.03,0.04,rest_tremor
2.110239029,-2.25,0.3,-9.51,-0.03,0.03,0.03,rest_tremor
2.125534058,-2.19,0.3,-9.65,0,0.01,0.02,rest_tremor
2.140833139,-2.18,0.21,-9.7,0.04,-0.02,0.02,rest_tremor
2.156129122,-2.25,0.19,-9.61,0.05,-0.04,0.01,rest_tremor
2.171379089,-2.31,0.23,-9.55,0.07,-0.05,0.01,rest_tremor
2.186802864,-2.36,0.14,-9.44,0.09,-0.05,0.01,rest_tremor
2.201792955,-2.37,0.07,-9.4,0.1,-0.04,0.01,rest_tremor
2.217324972,-2.32,-0.05,-9.47,0.07,-0.04,0.02,rest_tremor
2.232547045,-2.25,-0.16,-9.53,0.02,-0.05,0.02,rest_tremor
2.247834206,-2.22,-0.11,-9.73,-0.03,-0.07,0.02,rest_tremor
2.263153076,-2.15,0.13,-10.07,-0.06,-0.08,0.03,rest_tremor
2.278457165,-2.34,0.25,-9.72,-0.05,-0.07,0.02,rest_tremor
2.293715954,-2.45,0.45,-9.31,0,-0.03,0.02,rest_tremor
2.308742285,-2.49,0.51,-9.01,0.06,-0.01,0.01,rest_tremor
2.324049234,-2.48,0.2,-9.12,0.12,0.01,0.01,rest_tremor
2.339345217,-2.43,0.05,-9.27,0.11,0.02,0.02,rest_tremor
2.354684114,-2.42,-0.21,-9.41,0.07,0.03,0.02,rest_tremor
2.370026112,-2.26,-0.24,-9.75,0.01,0.04,0.03,rest_tremor
2.38523221,-2.2,-0.14,-9.84,-0.06,0.04,0.04,rest_tremor
2.400489092,-2.13,0.06,-9.82,-0.06,0.01,0.03,rest_tremor
2.415825129,-2.23,0.32,-9.75,-0.02,-0.02,0.03,rest_tremor
2.431050062,-2.32,0.4,-9.58,0.02,-0.03,0.02,rest_tremor
2.446485043,-2.37,0.47,-9.43,0.04,-0.02,0.01,rest_tremor
2.46149087,-2.41,0.45,-9.19,0.05,-0.01,0.01,rest_tremor
2.476743937,-2.38,0.39,-9.21,0.09,0,0,rest_tremor
2.492016077,-2.3,0.25,-9.36,0.12,-0.01,0,rest_tremor
2.507470131,-2.25,0.02,-9.62,0.1,-0.02,0,rest_tremor
2.522779226,-2.11,-0.16,-9.91,0.06,-0.04,0,rest_tremor
2.537944078,-2.2,-0.17,-9.85,0.04,-0.06,0,rest_tremor
2.553164005,-2.32,-0.04,-9.62,0.03,-0.06,0.01,rest_tremor
2.568519115,-2.41,0,-9.51,0.03,-0.05,0.02,rest_tremor
2.583610058,-2.41,0.18,-9.34,0.01,-0.02,0.03,rest_tremor
2.598849058,-2.44,0.31,-9.19,0.02,0.02,0.03,rest_tremor
2.614150286,-2.35,0.3,-9.24,0.06,0.02,0.02,rest_tremor
2.62924695,-2.32,0.17,-9.4,0.05,0.02,0.02,rest_tremor
2.644759178,-2.15,-0.02,-9.73,0.04,0,0.02,rest_tremor
2.659977913,-2.11,-0.03,-9.88,0.03,-0.02,0.01,rest_tremor
2.675116062,-2.21,0.03,-9.77,0.02,-0.05,0.02,rest_tremor
2.69039011,-2.32,0.11,-9.56,0.04,-0.05,0.02,rest_tremor
2.705693245,-2.37,0.2,-9.48,0.05,-0.05,0.02,rest_tremor
2.720969915,-2.39,0.23,-9.29,0.04,-0.02,0.02,rest_tremor
2.736247063,-2.42,0.29,-9.29,0.05,-0.01,0.02,rest_tremor
2.751501083,-2.34,0.24,-9.42,0.07,-0.02,0.01,rest_tremor
2.76675415,-2.26,0.13,-9.62,0.06,-0.02,0.01,rest_tremor
2.78205514,-2.21,-0.05,-9.78,0.06,-0.03,0.01,rest_tremor
2.797420025,-2.26,-0.09,-9.72,0.05,-0.04,0.02,rest_tremor
2.812650919,-2.34,-0.1,-9.59,0.03,-0.04,0.02,rest_tremor
2.827944279,-2.38,-0.03,-9.52,0,-0.02,0.03,rest_tremor
2.843189001,-2.47,0.18,-9.25,-0.02,0.02,0.03,rest_tremor
2.85829711,-2.41,0.19,-9.24,0,0.04,0.02,rest_tremor
2.873593092,-2.34,0.12,-9.39,0.01,0.05,0.01,rest_tremor
2.889076948,-2.29,0.11,-9.5,-0.01,0.07,0,rest_tremor
2.904381275,-2.16,-0.03,-9.81,-0.02,0.05,-0.02,rest_tremor
2.919665098,-2.18,-0.12,-9.78,-0.06,0.03,-0.01,rest_tremor
2.935034037,-2.23,-0.01,-9.67,-0.07,0.04,-0.01,rest_tremor
2.950061083,-2.29,0.1,-9.57,-0.06,0.04,0,rest_tremor
2.965325117,-2.33,0.25,-9.47,-0.05,0.06,0.01,rest_tremor
2.98051095,-2.3,0.41,-9.31,-0.03,0.07,0.02,rest_tremor
2.995594025,-2.3,0.5,-9.34,0.01,0.06,0.03,rest_tremor
3.010866165,-2.24,0.46,-9.51,0.04,0.04,0.02,rest_tremor
3.026149035,-2.15,0.33,-9.71,0.03,0.02,0.01,rest_tremor
3.041531086,-2.04,0.21,-9.92,0.04,-0.01,0,rest_tremor
3.05679512,-2.16,0.19,-9.73,0.06,-0.04,0,rest_tremor
3.072104216,-2.26,0.24,-9.63,0.08,-0.04,0,rest_tremor
3.087348938,-2.32,0.18,-9.47,0.08,-0.03,0,rest_tremor
3.102447033,-2.37,0.24,-9.27,0.08,0,0,rest_tremor
3.117879152,-2.35,0.18,-9.27,0.09,0.01,0.01,rest_tremor
3.133127213,-2.19,0.12,-9.46,0.07,0.01,0.01,rest_tremor
3.148399115,-2.07,0.03,-9.77,0.02,0,0.01,rest_tremor
3.163646936,-1.98,-0.11,-9.99,0,-0.03,0,rest_tremor
3.17919898,-2.1,-0.01,-9.77,-0.01,-0.04,0.01,rest_tremor
3.194306135,-2.2,0.17,-9.75,-0.01,-0.03,0.01,rest_tremor
3.209476233,-2.31,0.36,-9.38,0.01,-0.02,0,rest_tremor
3.224673033,-2.38,0.32,-9.17,0.04,0,0.01,rest_tremor
3.239958048,-2.34,0.31,-9.23,0.06,0.03,0.02,rest_tremor
3.255186319,-2.28,0.24,-9.32,0.07,0.03,0.03,rest_tremor
3.270461321,-2.17,0.02,-9.59,0.06,0.02,0.03,rest_tremor
3.285858154,-2.05,-0.15,-9.93,0.02,0.01,0.03,rest_tremor
3.301093102,-2.01,0.06,-9.88,-0.02,-0.01,0.02,rest_tremor
3.316369295,-2.12,0.23,-9.69,0.01,-0.03,0.02,rest_tremor
3.331465006,-2.2,0.3,-9.59,0.04,-0.03,0.02,rest_tremor
